Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
Pnin,Vladimir Nabokov,3.89,24929,258.0
Monkey: The Journey to the West,Wu Cheng'en,4.04,6922,258.0
The New York Trilogy: City of Glass / Ghosts / The Locked Room,Paul Auster,3.87,74794,258.0
"Goldfinger (James Bond, #7)",Ian Fleming,3.83,24762,257.0
Kidnapped,Robert Louis Stevenson,3.79,64696,256.0
Decline and Fall,Evelyn Waugh,3.83,14346,255.0
The Girls of Slender Means,Muriel Spark,3.65,7348,254.0
Invisible Cities,Italo Calvino,4.12,83930,254.0
The Little World of Don Camillo,Giovannino Guareschi,4.21,3896,251.0
Girlfriend in a Coma,Douglas Coupland (Goodreads Author),3.62,19541,251.0
The Midwich Cuckoos,John Wyndham,3.91,25667,249.0
The Caine Mutiny,Herman Wouk,4.28,25197,247.0
Effi Briest,Theodor Fontane,3.26,14090,245.0
The Children of Men,P.D. James,3.67,48027,242.0
Weaveworld,Clive Barker (Goodreads Author),4.13,32341,241.0
The Baron in the Trees,Italo Calvino,4.03,45096,240.0
American Pastoral,Philip Roth,3.94,80075,240.0
Around the World in Eighty Days,Jules Verne,3.94,248021,240.0
The Machine-Gunners,Robert Westall,3.94,2410,238.0
A Bend in the River,V.S. Naipaul,3.77,17690,237.0
Waiting for the Barbarians,J.M. Coetzee,3.93,32170,236.0
The Satanic Verses,Salman Rushdie,3.71,65752,236.0
Dombey and Son,Charles Dickens,3.96,15795,235.0
Cold Mountain,Charles Frazier,3.88,242799,235.0
The Good Companions,J.B. Priestley,4.13,718,234.0
Voss,Patrick White,3.77,3253,234.0
Under the Skin,Michel Faber,3.75,26352,233.0
Oscar and Lucinda,Peter Carey,3.73,21158,233.0
The Life and Loves of a She Devil,Fay Weldon,3.76,5802,233.0
Hard Times,Charles Dickens,3.54,68473,232.0
Birdsong,Sebastian Faulks,4.1,78741,230.0
Lolly Willowes,Sylvia Townsend Warner,3.71,9572,229.0
We Need to Talk About Kevin,Lionel Shriver (Goodreads Author),4.08,195261,227.0
The Secret Agent,Joseph Conrad,3.59,22751,225.0
"Postmortem (Kay Scarpetta, #1)",Patricia Cornwell (Goodreads Author),4.03,243668,225.0
The Ragged Trousered Philanthropists,Robert Tressell,4.04,9677,224.0
Zuleika Dobson,Max Beerbohm,3.53,4724,224.0
Elmer Gantry,Sinclair Lewis,4.01,5892,223.0
Middlesex,Jeffrey Eugenides,4.03,639347,223.0
The House of the Seven Gables,Nathaniel Hawthorne,3.45,39924,222.0
Call It Sleep,Henry Roth,3.81,8604,222.0
"The L-Shaped Room (Jane Graham, #1)",Lynne Reid Banks,3.97,3251,222.0
Buddenbrooks: The Decline of a Family,Thomas Mann,4.19,30375,220.0
The Horse's Mouth,Joyce Cary,3.97,1525,217.0
Sons and Lovers,D.H. Lawrence,3.64,53154,217.0
Deliverance,James Dickey,3.89,32581,216.0
Cranford,Elizabeth Gaskell,3.84,44069,214.0
Microserfs,Douglas Coupland (Goodreads Author),3.89,24173,214.0
Pale Fire,Vladimir Nabokov,4.17,50807,212.0
"The Scar (New Crobuzon, #2)",China Miéville (Goodreads Author),4.18,32526,210.0
Remembering Babylon,David Malouf,3.48,3444,207.0
Passing,Nella Larsen,3.93,65388,207.0
South Riding,Winifred Holtby,3.98,3159,206.0
The Drowned World,J.G. Ballard,3.48,18422,205.0
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,260708,203.0
The Monk,Matthew Gregory Lewis,3.83,28812,201.0
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,4.12,48145,200.0
The Things They Carried,Tim O'Brien,4.14,313843,199.0
Joseph Andrews / Shamela,Henry Fielding,3.28,2647,198.0
Air,Geoff Ryman,3.59,2467,197.0
Finnegans Wake,James Joyce,3.68,12884,196.0
"Memed, My Hawk (İnce Memed, #1)",Yaşar Kemal,4.48,10629,195.0
The Sheltering Sky,Paul Bowles,3.89,28349,195.0
Love in a Cold Climate,Nancy Mitford,3.82,9081,195.0
"An Infamous Army (Alastair-Audley, #4)",Georgette Heyer,3.7,4634,193.0
Behind the Scenes at the Museum,Kate Atkinson,3.97,40165,193.0
Martin Chuzzlewit,Charles Dickens,3.83,16344,192.0
Queen Lucia,E.F. Benson,3.93,5062,192.0
Fair Stood the Wind for France,H.E. Bates,3.99,1975,192.0
Tender is the Night,F. Scott Fitzgerald,3.79,136662,190.0
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,3.67,8809,189.0
Shame,Salman Rushdie,3.86,12341,188.0
"Sunset Song (A Scots Quair, #1)",Lewis Grassic Gibbon,4.01,4972,188.0
The Fountain Overflows,Rebecca West,3.71,3089,188.0
An American Tragedy,Theodore Dreiser,3.96,36851,188.0
The First Discworld Novels: The Colour of Magic and the Light Fantastic,Terry Pratchett,4.14,7459,185.0
U.S.A.: The 42nd Parallel / 1919 / The Big Money,John Dos Passos,4.11,4879,185.0
Go Tell It on the Mountain,James Baldwin,4.04,68629,185.0
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.81,57606,184.0
On Beauty,Zadie Smith,3.77,82372,184.0
